feature	coefficient	abs_coefficient
app_sessions_daily_avg	-0.18035065187989274	0.18035065187989274
app_sessions	-0.18035065187989271	0.18035065187989271
claim_app_ratio	-0.06455286214946854	0.06455286214946854
has_I10	-0.05997655115902609	0.05997655115902609
chronic_any	0.04743184984301564	0.04743184984301564
has_E119	-0.04399744349854822	0.04399744349854822
web_recency_days	0.0432853844775762	0.0432853844775762
low_engagement_flag	-0.0420964255061832	0.0420964255061832
app_web_ratio	-0.035180658317085216	0.035180658317085216
web_interval_std	0.034567874568041425	0.034567874568041425
app_recency_days	0.029888314518741865	0.029888314518741865
claim_recency_days	-0.019349733210321195	0.019349733210321195
claim_frequency	0.018017773869704268	0.018017773869704268
claims_total	0.018017773869704202	0.018017773869704202
app_interval_std	0.011640494533833682	0.011640494533833682
has_Z713	-0.0080126066069811	0.0080126066069811
web_visits_daily_avg	-0.004184305288034379	0.004184305288034379
web_visits	-0.00418430528803425	0.00418430528803425
